Тема 6.3 Инструменты мотивации и вовлечения в обучение. Сопротивление обучению и методы его преодоление с учетом возрастных особенностей обучаемых. Обратная связь как инструмент мотивации обучаемых;1;0,5;0,5;
"Раздел 7
Оптимальный выбор метода обучения";1;1;-;
Тема 7.1 Планирование системы обучения, способной реагировать на меняющиеся требования законодательства и учет отраслевых изменений. Определение  актуальных форм обучения для разной категории сотрудников;1;1;-;
"Раздел 8
Общие методы обучения";1,5;1;0,5;
Тема 8.1 Групповая дискуссия. Методы, направленные на развитие социальной перцепции. Игровые методы;1,5;1;0,5;
"Раздел 9
Интерактивные методы обучения";1,5;1;0,5;
Тема 9.1 Классификация, характеристика и применение интерактивных методов обучения;1,5;1;0,5;
"Раздел 10
Проектирование и дизайн обучения ";3;2;1;
Тема 10.1 Цикл Д. Колба, кривая А. Бандура, Стили обучения по Хони и Мамфорду;1;1;-;
Тема 10.2 Составные части обучения и этапы проектирования;1;0,5;0,5;
Тема 10.3 Визуализация учебного материала;1;0,5;0,5;
"Раздел 11
Система оценки эффективности обучения ";2;1;1;
Тема 11.1 Способы оценки эффективности процесса обучения;0,5;0,25;0,25;
Тема 11.2 Способы контроля и координации процесса обучения;0,5;0,25;0,25;
Тема 11.3 Разработка индивидуальных критериев и методов оценки эффективности обучения;1;0,5;0,5;
Итоговый контроль;1;-;1;экзамен 
Всего;24;14;10;
"Раздел 1.
Базовые знания по ПОЗ ВС";3;3;–;
Тема 1.1 Действующие стандарты, руководящие документы и рекомендации в сфере ПОЗ ВС;0,5;0,5;–;
Тема 1.2 Базовые знания по аэродинамике;0,3;0,3;–;
Тема 1.3 Влияние СЛО на лётно-технические характеристики ВС;0,5;0,5;–;
Тема 1.4 Метеорологические факторы формирования СЛО на поверхностях ВС;0,3;0,3;–;
Тема 1.5 Основные характеристики ПОЖ. Причины и последствия деградации ПОЖ и отложений;0,5;0,5;–;
Тема 1.6 Конструкция самолёта и критические поверхности ВС;0,4;0,4;–;
Тема 1.7 Условия, которые приводят к образованию льда на поверхности ВС;0,5;0,5;–;
"Раздел 2.
Правила, процедуры и техника выполнения ПОЗ ВС";2;2;–;
Тема 2.1 Основные техники удаления снежно-ледяных отложений с поверхностей ВС и защита от повторного обледенения;0,4;0,4;–;
Тема 2.2 Противообледенительные процедуры, общие и специфические требования при ПОЗ типов ВС и использование горячего воздуха;0,4;0,4;–;
Тема 2.3 Виды контроля (проверок) поверхностей ВС;0,4;0,4;–;
Тема 2.4 Коды ПОЗ ВС, процедуры связи и оформление документации;0,4;0,4;–;
Тема 2.5 Контроль качества ПОЗ ВС;0,4;0,4;–;
"Раздел 3.
Безопасность и аварийные процедуры";0,9;0,9;–;
Тема 3.1 Ограничения, предостережения и человеческий фактор. Меры по обеспечению охраны труда и техники безопасности, соблюдаемые персоналом с учётом факторов опасности;0,4;0,4;–;
Тема 3.2 Аварийные процедуры;0,5;0,5;–;
"Раздел 4.
Особенности организации ПОЗ ВС и специальные требования";1,6;1,6;–;
Тема 4.1 Местные правила и ограничения;0,3;0,3;–;
Тема 4.2 Операционные процедуры аэропорта;0,4;0,4;–;
Тема 4.3 Процедуры по ПОЗ ВС. Функциональные обязанности и ответственность каждого должностного лица, участвующего в процессе ПОЗ ВС. ;0,5;0,5;–;
Тема 4.4 Общие процедуры и требования авиакомпаний;0,4;0,4;–;
"Раздел 5.
Актуальные тенденции в области ПОЗ ВС";0,5;0,5;–;
Тема 5.1 Опыт прошлого сезона. Обзор международных тенденций в области ПОЗ ВС ;0,5;0,5;–;
Промежуточный контроль;2;2;–;Семинар
"Раздел 6. 
Практическая подготовка на учебном самолете";–;–;4;Практический зачет
Тема 6.1 Изучение конструкции спецмашины и аварийных систем.;–;–;2;
Тема 6.2 Маневрирование возле учебного ВС ;–;–;2;
Итоговый контроль;–;–;2;Письменный экзамен
ВСЕГО;16;10;6;
"Раздел 1.
Основные сведения по ПОЗ ВС";3,0;3,0;–;–;
Тема 1.1 Действующие стандарты, руководящие документы и рекомендации в сфере ПОЗ ВС;0,5;0,5;–;–;
Тема 1.2 Базовые знания по аэродинамике;0,4;0,4;–;–;
Тема 1.3 Влияние СЛО на лётно-технические характеристики ВС;0,4;0,4;–;–;
Тема 1.4 Метеорологические факторы формирования СЛО на поверхностях ВС;0,4;0,4;–;–;
Тема 1.5 Основные характеристики ПОЖ. Причины и последствия деградации ПОЖ и отложений;0,4;0,4;–;–;
Тема 1.6 Конструкция самолёта и критические поверхности ВС;0,4;0,4;–;–;
Тема 1.7 Условия, которые приводят к образованию льда на поверхности ВС;0,5;0,5;–;–;
"Раздел 2.
Правила, процедуры и техника выполнения ПОЗ ВС";2,0;2,0;–;–;
Тема 2.1 Основные техники удаления снежно-ледяных отложений с поверхностей ВС и защита от повторного обледенения;0,4;0,4;–;–;
Тема 2.2 Противообледенительные процедуры, общие и специфические требования при ПОЗ типов ВС и использование горячего воздуха;0,4;0,4;–;–;
Тема 2.3 Виды контроля (проверок) поверхностей ВС;0,4;0,4;–;–;
Тема 2.4 Коды ПОЗ ВС, процедуры связи и оформление документации;0,4;0,4;–;–;
Тема 2.5 Контроль качества ПОЗ ВС;0,4;0,4;–;–;
"Раздел 3.
Безопасность и аварийные процедуры";0,9;0,9;–;–;
Тема 3.1 Ограничения, предостережения и человеческий фактор. Меры по обеспечению охраны труда и техники безопасности, соблюдаемые персоналом с учётом факторов опасности;0,5;0,5;–;–;
Тема 3.2 Аварийные процедуры;0,4;0,4;–;–;
"Раздел 4.
Особенности организации ПОЗ ВС и специальные требования";1,6;1,6;–;–;
Тема 4.1 Местные правила и ограничения;0,4;0,4;–;–;
Тема 4.2 Операционные процедуры аэропорта;0,4;0,4;–;–;
Тема 4.3 Процедуры по ПОЗ ВС. Функциональные обязанности и ответственность каждого должностного лица, участвующего в процессе ПОЗ ВС. ;0,4;0,4;–;–;
Тема 4.4 Общие процедуры и требования авиакомпаний;0,4;0,4;–;–;
"Раздел 5.
Актуальные тенденции в области ПОЗ ВС";1;0,5;0,5;–;
Тема 5.1 Мировой опыт проведения процедуры;0,5;0,5;–;–;
Тема 5.2 Опыт аэропорта Пулково в прошедшем сезоне;0,5;–;0,5 ;–;
Промежуточный контроль;1,5;–;1,5;–;Тестирование
Раздел 6. Практическая подготовка на учебном ВС;4;–;–;4;Практический экзамен
Тема 6.1 Изучение конструкции спецмашины и аварийных систем.;2;–;–;2;
Тема 6.2 Маневрирование возле учебного ВС ;2;–;–;2;
Итоговый контроль;2;–;2;–;"Письменный 
экзамен"
Всего;16;8;4;4;
3,0;3,0;–;
0,5;0,5;–;
0,5;0,5;–;
0,5;0,5;–;
0,5;0,5;–;
0,5;0,5;–;
0,5;0,5;–;
2,0;2,0;–;
0,6;0,6;–;
0,4;0,4;–;
1,0;1,0;–;
1,0;1,0;–;
0,5;0,5;–;
0,4;0,4;–;
1,0;1,0;–;
0,4;0,4;–;
0,4;0,4;–;
0,4;0,4;–;
0,4;0,4;–;
1,0;1,0;–;
0,5;0,5;–;
0,5;0,5;–;
2,0;–;2,0;Тестирование
4,0;–;4,0;Практический экзамен
2,0;–;2,0;
2,0;–;2,0;
2,0;–;2,0;"Письменный 
экзамен"
16;8;4;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;"
"
;;;;
Раздел 1. Правовое регулирование наземного обслуживания воздушных судов;3;3;–;Зачёт;Зачёт
Тема 1.1. Международное и национальное воздушное право;1;1;–;;
Тема 1.2. Отраслевые документы;2;2;–;;
Раздел 2. Основные строения и элементы аэродрома и аэропорта;2;2;-;Зачёт;Зачёт
Тема 2.1. Здание аэровокзала и здания оперативных служб;1;1;-;;
Тема 2.2. ВПП, пути руления и места стоянки ВС ;1;1;-;;
Раздел 3. Конструкция и классификация воздушных судов;8;6;2;Зачёт;Зачёт
Тема 3.1. Основные элементы конструкции воздушного судна;2;1;1;;
Тема 3.2. Классификация по типам воздушных судов;4;3;1;;
Тема 3.3. Двери и сервисные люки ВС;1;1;-;;
Тема 3.4. Багажно-грузовые отсеки самолёта;1;1;-;;
Раздел 4. Общее понимание наземного обслуживания воздушных судов;2;2;-;;
Тема 4.1. Понятие о наземном обслуживании ВС;1;1;-;;
Тема 4.2. Договор о наземном обслуживании;1;1;-;;
Раздел 5. Основные процедуры и правила наземного обслуживания;45;26;19;Зачёт;Зачёт
Тема 5.1. Безопасность при работе на аэродроме;3;2;1;;
Тема 5.2. Основы радиообмена;2;1;1;;
Тема 5.3. Подготовка к рейсу;3;1;2;;
Тема 5.4. Подготовка/осмотр места стоянки;2;1;1;;
Тема 5.5. Встреча ВС;3;1;2;;
Тема 5.6. Внешний осмотр ВС;2;1;1;;
Тема 5.7. Установка/отгон средства посадки/высадки пассажиров;2;1;1;;
Тема 5.8. Подключение/отключение наземного источника электропитания;2;1;1;;
Тема 5.9. Открытие/закрытие дверей и люков ВС;1;1;-;;
Тема 5.10. Взаимодействие участников обслуживания воздушного судна;2;1;1;;
Тема 5.11. Заправка воздушного судна авиатопливом ;2;1;1;;
Тема 5.12. Обслуживание туалетной системы ВС;1;1;-;;
Тема 5.13. Обслуживание водяной системы ВС;1;1;-;;
Тема 5.14. Обогрев воздушного судна;1;1;-;;
Тема 5.15. Запуск двигателей ВС;2;1;1;;
Тема 5.16. Буксировка ВС ;6;3;3;;
Тема 5.17. Противообледенительная обработка ВС;1;1;-;;
Тема 5.18. Общие сведения по центровке и контролю загрузки ВС;1;1;-;;
Тема 5.19. Общие сведения по перевозке опасных грузов воздушным транспортом;1;1;-;;
Тема 5.20. Сопроводительная документация;2;1;1;;
Тема 5.21. Контроль технологического графика обслуживания;2;1;1;;
Тема 5.22. Расстановка спецтехники в зоне обслуживания ВС;2;1;1;;
Тема 5.23. Обслуживание литерных и подконтрольных рейсов ;1;1;-;;
Раздел 6. Аварийные и чрезвычайные ситуации;2;2;-;Зачёт;Зачёт
Тема 6.1. Аварийно-спасательный комплекс;0.5;0.5;-;;
Тема 6.2. Утечка и разливы ГСМ в зоне обслуживания ВС;0.5;0.5;-;;
Тема 6.3. Пожар на воздушном судне, в зоне обслуживания ВС;0.5;0.5;-;;
Тема 6.4 Эвакуация ВС с летного поля, потерявшего способность двигаться самостоятельно;0.5;0.5;-;;
Раздел 7. Обеспечение безопасности полётов;3;3;–;Зачёт;Зачёт
Тема 7.1. Область применения СУБП. Политика Общества;1;1;–;;
Тема 7.2. Культура безопасности. Система добровольных сообщений;1;1;–;;
Тема 7.3. Ответственность персонала в области СУБП;1;1;–;;
Раздел 8. Человеческий фактор в авиационной деятельности;3;3;–;Зачёт;Зачёт
Тема 8.1. Концепция влияния ЧФ в авиации;1;1;–;;
Тема 8.2. Факторы риска. «Грязная дюжина» человеческих ошибок. Модель SHELL;1;1;–;;
Тема 8.3. Основные принципы учёта ЧФ. Стандарты ИКАО и их реализация на практике;1;1;–;;
Итоговый контроль;4;4;–;Экзамен;Экзамен
ВСЕГО;72;51;21;;
Раздел 1. Правовое регулирование наземного обслуживания воздушных судов;2;1,5;0,5;Зачёт;Зачёт
Тема 1.1. Международное и национальное воздушное право;1;1;–;;
Тема 1.2. Отраслевые документы;1;0.5;0.5;;
Раздел 2. Общее понимание наземного обслуживания воздушных судов;2;2;-;;
Тема 2.1. Понятие о наземном обслуживании ВС;1;1;-;;
Тема 2.2. Договор о наземном обслуживании воздушных судов;1;1;-;;
Раздел 3. Основные процедуры и правила наземного обслуживания;17;9,5;7, 5;Зачёт;Зачёт
Тема 3.1. Безопасность при работе на аэродроме;1;0.5;0.5;;
Тема 3.2. Подготовка к рейсу;1;0.5;0.5;;
Тема 3.3. Подготовка/осмотр места стоянки;1;0.5;0.5;;
Тема 3.4. Встреча ВС;1;0.5;0.5;;
Тема 3.5. Внешний осмотр ВС;1;0.5;0.5;;
Тема 3.6. Установка/отгон средства посадки/высадки пассажиров;1;0.5;0.5;;
Тема 3.7. Подключение/отключение наземного источника электропитания;1;0.5;0.5;;
Тема 3.8. Открытие/закрытие дверей и люков ВС;1;0.5;0.5;;
Тема 3.9. Взаимодействие участников обслуживания воздушного судна;1;0.5;0.5;;
Тема 3.10. Заправка воздушного судна авиатопливом ;1;0.5;0.5;;
Тема 3.11. Обслуживание туалетной системы ВС;0.5;0.5;-;;
Тема 3.12. Обслуживание водяной системы ВС;0.5;0.5;-;;
Тема 3.13. Обогрев воздушного судна;0.5;0.5;-;;
Тема 3.14. Запуск двигателей ВС;1;0.5;0.5;;
Тема 3.15. Буксировка ВС ;2;1;1;;
Тема 3.16. Сопроводительная документация;1;0.5;0.5;;
Тема 3.17. Контроль технологического графика обслуживания;1;0.5;0.5;;
Тема 3.18. Расстановка спецтехники в зоне обслуживания ВС;0.5;0.5;-;;
Раздел 4. Аварийные и чрезвычайные ситуации;2;2;-;Зачёт;Зачёт
Тема 4.1. Аварийно-спасательный комплекс;0.5;0.5;-;;
Тема 4.2. Утечка и разливы ГСМ в зоне обслуживания ВС;0.5;0.5;-;;
Тема 4.3. Пожар на воздушном судне, в зоне обслуживания ВС;0.5;0.5;-;;
Тема 4.4 Эвакуация ВС с летного поля, потерявшего возможность двигаться самостоятельно;0.5;0.5;-;;
Раздел 5. Обеспечение безопасности полётов;3;3;-;Зачёт;Зачёт
Тема 5.1. Область применения СУБП. Политика Общества;1;1;-;;
Тема 5.2. Культура безопасности. Система добровольных сообщений;1;1;-;;
Тема 5.3. Ответственность персонала в области СУБП;1;1;-;;
Раздел 6. Человеческий фактор в авиационной деятельности;3;3;-;Зачёт;Зачёт
Тема 6.1. Концепция влияния ЧФ в авиации;1;1;-;;
Тема 6.2. Факторы риска. «Грязная дюжина» человеческих ошибок. Модель SHELL;1;1;-;;
Тема 6.3. Основные принципы учёта ЧФ. Стандарты ИКАО и их реализация на практике;1;1;-;;
Итоговый контроль;2;2;-;Экзамен;Экзамен
ВСЕГО;32;24;8;;
Раздел 1. Правовое регулирование пассажирских перевозок воздушным транспортом;2;1;1;–
Тема 1.1. Международное и национальное воздушное законодательство;1;0,5;0,5;–
Тема 1.2. Внутренние нормативные документы, регламентирующие организацию обслуживания пассажирских перевозок в аэропорту;1;0,5;0,5;–
Раздел 2. Правила и процедуры обслуживания пассажиров и оформления багажа;12;4;8;–
Тема 2.1. Обслуживание пассажиров и оформление багажа на отправление;6;1,5;4,5;–
Тема 2.2. Обслуживание особых категорий пассажиров;5;2;3;–
Тема 2.3. Обслуживание прибывающих пассажиров, выдача багажа;1;0,5;0,5;–
Раздел 3. Система управления безопасностью полётов;2;1;1;–
Тема 3.1. Область применения СУБП;0,5;0,5;–;–
Тема 3.2. Культура безопасности полётов;1;0,5;0,5;–
Тема 3.3. Ответственность персонала в области СУБП;0,5;–;0,5;–
Раздел 4. Человеческий фактор;2;1;1;–
Тема 4.1. Концепция влияния ЧФ в авиации;0,5;0,5;–;–
Тема 4.2. Факторы риска. Модель SHELL. «Грязная дюжина» человеческих ошибок;1;0,5;0,5;–
Тема 4.3. Основные принципы учёта ЧФ. Стандарты ИКАО и их реализация на практике;0,5;–;0,5;–
Раздел 5. Контроль проездных документов;2;1;1;–
Тема 5.1. Правовое регулирование;0,5;0,5;–;–
Тема 5.2. Особенности проведения контроля проездных документов при обслуживании пассажиров на МВЛ;1,5;0,5;1;–
Раздел 6. Культура обслуживания;4;1;3;–
Тема 6.1. Требования к качеству обслуживания;1;0,5;0,5;–
Тема 6.3. Стандарты обслуживания пассажиров;       2;         –;         2;         –
Тема 6.3. Конфликт. Правила поведения сотрудника в конфликтной ситуации;"
1";"
0,5";"
0,5";"
–"
Раздел 7. Процедуры и особенности работы при обслуживании пассажиров, оформлении багажа, контроле посадки в пассажирском терминале (практическое обучение на производстве);6;–;6;–
Тема 7.1. Оформление пассажиров, багажа и ручной клади к воздушной перевозке;2,5;–;2,5;–
Тема 7.2. Организация посадки пассажиров на воздушное судно;2;–;2;–
Тема 7.3. Встреча прибывающих пассажиров, выдача багажа;1,5;–;1,5;–
Итоговый контроль;2;–;2;Экзамен
ВСЕГО;32;9;23;–
Раздел 1. Нормативные документы;1;0,5;0,5;
Тема 1.1. Нормативные документы, регламентирующие организацию обслуживания пассажирских перевозок в аэропорту;1;0,5;0,5;
Раздел 2. Правила и процедуры обслуживания пассажиров и оформления багажа;5;2,5;2,5;
Тема 2.1. Обслуживание пассажиров и оформление багажа на отправление;3;1,5;1,5;
Тема 2.2. Обслуживание особых категорий пассажиров;1;0,5;0,5;
Тема 2.3 Обслуживание прибывающих пассажиров. Аварийные ситуации;1;0,5;0,5;
Раздел 3. Контроль проездных документов;2;1;1;
Тема 3.1. Правовое регулирование;0,5;0,5;–;
Тема 3.2. Особенности проведения контроля проездных документов при обслуживании пассажиров на МВЛ;1,5;0,5;1;
Раздел 4. Система управления безопасностью полётов;2;1,5;0,5;
Тема 4.1. Область применения СУБП;0,5;0,5;–;
Тема 4.2. Культура безопасности полётов;1;0,5;0,5;
Тема 4.3. Ответственность персонала в области СУБП;0,5;0,5;–;
Раздел 5. Человеческий фактор;2;1,5;0,5;
Тема 5.1. Концепция влияния ЧФ в авиации;0,5;0,5;–;
Тема 5.2. Факторы риска. «Грязная дюжина» человеческих ошибок. Модель SHELL;1;0,5;0,5;
Тема 5.3. Основные принципы учёта ЧФ. Стандарты ИКАО и их реализация на практике;0,5;0,5;–;
Раздел 6. Культура обслуживания;2;1;1;
Тема 6.1. Стандарты обслуживания;1;1;–;
Тема 6.2. Конфликт. Правила поведения сотрудника в конфликтной ситуации;1;1;–;
Итоговый контроль;2;–;2;Экзамен
ВСЕГО;16;8;8;
Раздел 1. Общие положения перевозки опасных грузов;2,5;0,25;1;1,25;
Тема 1.1. Правовые основы перевозки опасных грузов воздушным транспортом;2;0,125;0,875;1;
Тема 1.2. Сфера действия и применение;0,5;0,125;0,125;0,25;
Раздел 2. Классификация опасных грузов;3;0,25;1,25;1,5;
Тема 2.1. Общие положения и определения;0,5;0,125;0,125;0,25;
Тема 2.2. Классы опасных грузов;2,5;0,125;1,125;1,25;
Раздел 3. Перечень опасных грузов;1;0,25;0,25;0,5;
Тема 3.1. Общие положения;0,5;0,125;0,125;0,25;
Тема 3.2. Структура перечня опасных грузов;0,5;0,125;0,125;0,25;
Раздел 4. Ограничения при перевозке опасных грузов на воздушных судах;2;0,5;0,5;1;
Тема 4.1. Опасные грузы, запрещённые к перевозке по воздуху при любых обстоятельствах. Опасные грузы в авиапочте;0,5;0,125;0,125;0,25;
Тема 4.2. Освобождения для опасных грузов эксплуатанта;0,5;0,125;0,125;0,25;
Тема 4.3. Опасные грузы в исключенных (освобожденных) количествах;0,5;0,125;0,125;0,25;
Тема 4.4. Опасные грузы в ограниченных количествах;0,5;0,125;0,125;0,25;
Раздел 5. Знаки опасности и маркировка;3;0,5;1;1,5;
Тема 5.1. Знаки опасности;0,5;0,125;0,125;0,25;
Тема 5.2. Нанесение знаков опасности;0,5;0,125;0,125;0,25;
Тема 5.3. Маркировка грузовых мест;1;0,125;0,375;0,5;
Тема 5.4. Маркировка упаковочных комплектов;1;0,125;0,375;0,5;
Раздел 6. Документация для перевозки опасных грузов;1,5;0,25;0,5;0,75;
Тема 6.1. Основные документы и их структура;1,5;0,25;0,5;0,75;
Раздел 7. Уведомление пилотов;1,5;0,25;0,5;0,75;
Тема 7.1. Информация командиру воздушного судна. Информация личному составу;1,5;0,25;0,5;0,75;
Раздел 8. Правила хранения и погрузки;4;1;1;2;
Тема 8.1. Ограничения при погрузке;1;0,25;0,25;0,5;
Тема 8.2. Несовместимые опасные грузы;0,5;0,125;0,125;0,25;
Тема 8.3. Погрузка и крепление опасных грузов;1,5;0,25;0,5;0,75;
Тема 8.4. Погрузка отдельных классов опасных грузов. Замена маркировки грузовых мест;1;0,375;0,125;0,5;
Раздел 9. Распознавание необъявленных опасных грузов;1;–;0,5;0,5;
Тема 9.1. Скрытые опасные грузы;1;–;0,5;0,5;
Раздел 10. Положения для пассажиров и членов экипажа;1,5;0,75;–;0,75;
Тема 10.1. Общие положения. Требования к информированию;0,5;0,25;–;0,25;
Тема 10.2. Опасные грузы, перевозимые пассажирами и членами экипажа;1;0,5;–;0,5;
Раздел 11. Порядок действий в аварийной обстановке;1;–;0,5;0,5;
Тема 11.1. Упреждающие меры;0,5;–;0,25;0,25;
Тема 11.2. Порядок действий наземного персонала;0,5;–;0,25;0,25;
Контроль*;2;–;1;1;Экзамен/тестирование
ВСЕГО;24;4;8;12;
Раздел 1. Общие положения перевозки опасных грузов;1,5;0,75;0,75;
Тема 1.1. Правовые основы перевозки опасных грузов воздушным транспортом;1;0,5;0,5;
Тема 1.2. Сфера действия и применение;0,5;0,25;0,25;
Раздел 2. Классификация опасных грузов;1;0,5;0,5;
Тема 2.1. Общие положения и определения;0,5;0,25;0,25;
Тема 2.2. Классы опасных грузов;0,5;0,25;0,25;
Раздел 3. Перечень опасных грузов;1;0,5;0,5;
Тема 3.1. Общие положения;0,5;0,25;0,25;
Тема 3.2. Структура перечня опасных грузов;0,5;0,25;0,25;
Раздел 4. Ограничения при перевозке опасных грузов на воздушных судах;1,5;0,75;0,75;
Тема 4.1. Опасные грузы, запрещённые к перевозке по воздуху при любых обстоятельствах. Опасные грузы в авиапочте. Освобождения для опасных грузов эксплуатанта;0,5;0,25;0,25;
Тема 4.2. Опасные грузы в исключенных (освобожденных) количествах;0,5;0,25;0,25;
Тема 4.3. Опасные грузы в ограниченных количествах;0,5;0,25;0,25;
Раздел 5. Знаки опасности и маркировка;1,5;0,75;0,75;
Тема 5.1. Знаки опасности. Нанесение знаков опасности;0,5;0,25;0,25;
Тема 5.2. Маркировка грузовых мест;0,5;0,25;0,25;
Тема 5.3. Маркировка упаковочных комплектов;0,5;0,25;0,25;
Раздел 6. Документация для перевозки опасных грузов;1;0,5;0,5;
Тема 6.1. Основные документы и их структура;1;0,5;0,5;
Раздел 7. Уведомление пилотов;1;0,5;0,5;
Тема 7.1. Информация командиру воздушного судна. Информация личному составу;1;0,5;0,5;
Раздел 8. Правила хранения и погрузки;2,5;1,25;1,25;
Тема 8.1. Ограничения при погрузке;0,5;0,25;0,25;
Тема 8.2. Несовместимые опасные грузы;0,5;0,25;0,25;
Тема 8.3. Погрузка и крепление опасных грузов;1;0,5;0,5;
Тема 8.4. Погрузка отдельных классов опасных грузов. Замена маркировки грузовых мест;0,5;0,25;0,25;
Раздел 9. Распознавание необъявленных опасных грузов;1;0,5;0,5;
Тема 9.1. Скрытые опасные грузы;1;0,5;0,5;
Раздел 10. Положения для пассажиров и членов экипажа;1;0,5;0,5;
Тема 10.1. Опасные грузы, перевозимые пассажирами и членами экипажа;1;0,5;0,5;
Раздел 11. Порядок действий в аварийной обстановке;1;0,5;0,5;
Тема 11.1. Упреждающие меры;0,5;0,25;0,25;
Тема 11.2. Порядок действий наземного персонала;0,5;0,25;0,25;
Контроль*;2;1;1;Экзамен/тестирование
ВСЕГО;16;8;8;
Раздел 1. Общие положения перевозки опасных грузов;2;0,5;0,5;1;
Тема 1.1. Правовые основы перевозки опасных грузов воздушным транспортом;1;0,25;0,25;0,5;
Тема 1.2. Сфера действия и применение;1;0,25;0,25;0,5;
Раздел 2. Классификация опасных грузов;3;0,5;1;1,5;
Тема 2.1. Общие положения и определения;1;0,25;0,25;0,5;
Тема 2.2. Классы опасных грузов;2;0,25;0,75;1;
Раздел 3. Ограничения при перевозке опасных грузов на воздушных судах;2;0,5;0,5;1;
Тема 3.1. Опасные грузы, запрещённые к перевозке по воздуху при любых обстоятельствах. Опасные грузы в авиапочте;0,5;0,125;0,125;0,25;
Тема 3.2. Освобождения для опасных грузов эксплуатанта;0,5;0,125;0,125;0,25;
Тема 3.3. Опасные грузы в исключённых количествах и ограниченных количествах;1;0,25;0,25;0,5;
Раздел 4. Знаки опасности и маркировка;3;0,5;1;1,5;
Тема 4.1. Знаки опасности;0,5;0,125;0,125;0,25;
Тема 4.2. Нанесение знаков опасности;0,5;0,125;0,125;0,25;
Тема 4.3. Маркировка грузовых мест;1;0,25;0,25;0,5;
Тема 4.4. Маркировка упаковочных комплектов;1;0,25;0,25;0,5;
Раздел 5. Документация для перевозки опасных грузов. Уведомление пилотов;1;–;0,5;0,5;
Тема 5.1. Основные документы и их структура;1;–;0,5;0,5;
Раздел 6. Правила хранения и погрузки;3;0,5;1;1,5;
Тема 6.1. Ограничения при погрузке;1;0,25;0,25;0,5;
Тема 6.2. Погрузка и крепление опасных грузов;1;0,125;0,375;0,5;
Тема 6.3. Погрузка отдельных классов опасных грузов. Замена маркировки грузовых мест;1;0,125;0,375;0,5;
Раздел 7. Распознавание необъявленных опасных грузов;2;0,5;0,5;1;
Тема 7.1. Скрытые опасные грузы;2;0,5;0,5;1;
Раздел 8. Положения для пассажиров и членов экипажа;4;1;1;2;
Тема 8.1. Общие положения. Требования к информированию;1;0,25;0,25;0,5;
Тема 8.2. Опасные грузы, перевозимые пассажирами и членами экипажа;3;0,75;0,75;1,5;
Раздел 9. Порядок действий в аварийной обстановке;2;–;1;1;
Тема 9.1. Упреждающие меры;0,5;–;0,25;0,25;
Тема 9.2. Порядок действий наземного персонала;1,5;–;0,75;0,75;
Контроль*;2;–;1;1;Экзамен/тестирование
ВСЕГО;24;4;8;12;
Раздел 1. Общие положения перевозки опасных грузов;1,5;0,75;0,75;
